batch_idx,algo,server_id,capacity,mu_j,sigma_j,actual_load,delta,overload
18,dg,4,2890.046601106091,2587.2166007356996,438.7344602909924,2634.77622569059,47.559624954890296,0
18,dg,5,2889.986300840507,2661.9622641329142,363.81169179791095,2898.2180318890246,236.25576775611034,1
18,dg,6,2645.2090304204985,2408.4852741654418,359.82539884182466,2515.8660293567564,107.38075519131462,0
18,dg,7,4665.440364437338,4174.260075923229,496.0647024951936,4940.580267138965,766.3201912157356,1
18,dg,8,4002.7875293580223,3634.9906133887202,406.4522975767164,3845.801080796622,210.8104674079018,0
18,dg,9,4270.181444490114,3918.9241109941595,478.8734033288416,4378.731824832843,459.8077138386834,1
18,rosa,0,3436.350297118406,2954.702222994011,446.08447646661614,3342.521430351472,387.819207357461,0
18,rosa,1,4876.785766024791,4353.610895208414,546.8695988435153,5160.871485045543,807.2605898371285,1
18,rosa,2,4329.984854528513,3913.005968858329,472.45465499242346,3767.541466761005,-145.46450209732438,0
18,rosa,3,3996.6462104925918,3499.339425786869,490.2347891961833,4055.3799839036287,556.0405581167597,1
18,rosa,4,2890.046601106091,2465.3065384620004,385.0190247949518,3184.7323080151145,719.4257695531142,1
18,rosa,5,2889.986300840507,2463.3340664893535,386.907221398564,2659.9807737955643,196.64670730621083,0
18,rosa,6,2645.2090304204985,2367.5476759224257,300.60122295898924,2258.441296624554,-109.10637929787163,0
18,rosa,7,4665.440364437338,4117.928153110808,537.1202846471614,4735.838866957437,617.9107138466288,1
18,rosa,8,4002.7875293580223,3597.2916300998086,447.6976450183963,4643.645267129317,1046.3536370295087,1
18,rosa,9,4270.181444490114,3765.2609030717626,492.1648782661449,3871.800322313277,106.53941924151422,0
18,vag,0,3436.350297118406,2735.357642268112,642.7430209567627,4412.27040756735,1676.912765299238,1
18,vag,1,4876.785766024791,4441.321699766035,476.19368141301806,5063.885847907386,622.5641481413513,1
18,vag,2,4329.984854528513,3673.36899251695,609.1917220983902,4110.878091356251,437.50909883930126,0
18,vag,3,3996.6462104925918,3845.794944880941,163.8290547884303,3880.5731046769015,34.77815979596062,0
18,vag,4,2890.046601106091,2459.239134697277,401.8784451181863,3014.1248327619523,554.8856980646751,1
18,vag,5,2889.986300840507,2396.6420496485694,484.1601624608378,2816.6928670345123,420.050817385943,0
18,vag,6,2645.2090304204985,1974.8430983488147,615.7917495105879,1826.2632879829168,-148.57981036589786,0
18,vag,7,4665.440364437338,4182.41491916484,488.4876857903977,3983.8953195282265,-198.51959963661375,0
18,vag,8,4002.7875293580223,3836.6269595661743,120.57065751321613,3717.5728233168707,-119.05413624930361,0
18,vag,9,4270.181444490114,4183.096795658157,122.26611887032124,4294.071908755066,110.9751130969089,1
18,nsga,0,3436.350297118406,3591.8967915375983,478.32067500652346,4042.5956619506965,450.6988704130981,1
18,nsga,1,4876.785766024791,3574.4326903281526,477.7791086422589,4392.952761750026,818.5200714218736,0
18,nsga,2,4329.984854528513,3559.6735390503145,498.074718391103,4705.218596446008,1145.5450573956932,1
18,nsga,3,3996.6462104925918,3749.1428662448493,470.791364226161,4237.210397059607,488.0675308147579,1
18,nsga,4,2890.046601106091,3372.222222205771,442.926057596847,3621.170258343331,248.9480361375604,1
18,nsga,5,2889.986300840507,3394.954810192186,441.4292399919427,4376.572785221658,981.6179750294718,1
18,nsga,6,2645.2090304204985,3076.812995685734,430.1768404482648,3172.8962103491776,96.08321466344341,1
18,nsga,7,4665.440364437338,3582.570195000606,423.1837149801067,3841.700803231927,259.1306082313208,0
18,nsga,8,4002.7875293580223,3650.2879888190937,398.3854350231214,3766.1014096358276,115.81342081673392,0
18,nsga,9,4270.181444490114,3561.972554587117,490.28521187664376,4008.65315019275,446.68059560563324,0
19,dg,0,3436.350297118406,3088.6242978148434,362.76972960943516,2960.4420435310067,-128.18225428383676,0
19,dg,1,4876.785766024791,4331.657739361478,546.7978876700403,5059.695256090366,728.0375167288876,1
19,dg,2,4329.984854528513,3786.310665091849,580.7418585764485,4662.178236710652,875.8675716188027,1
19,dg,3,3996.6462104925918,3490.602453493567,442.2505690354113,3303.019700314749,-187.5827531788177,0
19,dg,4,2890.046601106091,2543.9819208843737,417.82870885784877,2965.5885182337142,421.6065973493405,1
19,dg,5,2889.986300840507,2538.7565310431896,477.88929637456084,2996.1873810247857,457.4308499815961,1
19,dg,6,2645.2090304204985,2313.4577060689758,397.5538968432182,2529.9829765100353,216.52527044105955,0
19,dg,7,4665.440364437338,4101.226061554947,500.56677771928815,4597.994616259609,496.76855470466217,0
19,dg,8,4002.7875293580223,3512.3046480382495,434.6304684390143,4289.06318786534,776.7585398270908,1
19,dg,9,4270.181444490114,3797.2360849112615,501.9861924223028,3803.195460905634,5.959375994372294,0
19,rosa,0,3436.350297118406,2915.323576174761,442.19651987267684,2632.2611759145752,-283.06240026018577,0
19,rosa,1,4876.785766024791,4306.36699748799,569.0934628359034,4625.062213969347,318.6952164813565,0
19,rosa,2,4329.984854528513,3738.250248836707,529.7624064037685,3940.9278499538063,202.67760111709913,0
19,rosa,3,3996.6462104925918,3451.486534612967,493.17882177640706,3960.6396050873554,509.15307047438864,0
19,rosa,4,2890.046601106091,2494.3601713293488,367.4867188908171,2592.669579806895,98.30940847754619,0
19,rosa,5,2889.986300840507,2402.6325447320673,388.25970387884894,2648.686239657149,246.0536949250818,0
19,rosa,6,2645.2090304204985,2199.196277787408,366.39325145044864,2665.6852007847915,466.4889229973837,1
19,rosa,7,4665.440364437338,4026.8620743138217,561.3089041015392,4521.400800459104,494.53872614528245,0
